GMID,Dataset,Facility Name,Address,數據集,設施名稱,地址,Students Gender,就讀學生性別,Session,學校授課時間,District,分區,Finance Type,資助種類,School Level,學校類型,Telephone,聯絡電話,Fax Number,傳真號碼,Website,網頁,Religion,宗教,SCHOOL NO.,學校編號,Northing,Easting,Latitude,Longitude,Last Update
"VR2FYhghQz","Aided Primary Schools","ALLIANCE PRIMARY SCHOOL, TAI HANG TUNG","13 & 23 TONG YAM STREET TAI HANG TUNG KOWLOON","資助小學","大坑東宣道小學","九龍大坑東棠蔭街十三及廿三號","CO-ED","男女","WHOLE DAY","全日","SHAM SHUI PO","深水埗區","AIDED","資助","PRIMARY","小學","27778949","27778949","27761585","27761585","http://www.apstht.edu.hk","http://www.apstht.edu.hk","PROTESTANTISM / CHRISTIANITY","N.A.","511129000123","511129000123","821341.0","835574.0","22.33111","114.17014","2019-01-09 07:36:33"
"aT6O9BTuHy","Aided Primary Schools","S.K.H. TAK TIN LEE SHIU KEUNG PRIMARY SCHOOL","NO 3 HING TIN STREET LAM TIN KWUN TONG KOWLOON","資助小學","聖公會德田李兆強小學","九龍觀塘藍田慶田街３號","CO-ED","男女","WHOLE DAY","全日","KWUN TONG","觀塘區","AIDED","資助","PRIMARY","小學","27759338","27759338","27759882","27759882","http://www.skhttlsk.edu.hk","http://www.skhttlsk.edu.hk","PROTESTANTISM / CHRISTIANITY","基督教","550400000123","550400000123","819103.0","842467.0","22.31089","114.23704","2019-01-09 07:34:39"
"Ck6G8kTgxc","Aided Primary Schools","S.K.H. TIN SHUI WAI LING OI PRIMARY SCHOOL","82 TIN SHUI ROAD TIN SHUI WAI YUEN LONG NEW TERRITORIES","資助小學","聖公會天水圍靈愛小學","新界元朗天水圍天瑞路８２號","CO-ED","男女","WHOLE DAY","全日","YUEN LONG","元朗區","AIDED","資助","PRIMARY","小學","24461633","24461633","24461630","24461630","http://www.skhtswlo.edu.hk","http://www.skhtswlo.edu.hk","PROTESTANTISM / CHRISTIANITY","基督教","549371000223","549371000223","836496.0","818174.0","22.46787","114.00107","2019-01-09 07:34:38"
"3LAQA0aski","Aided Primary Schools","THE SALVATION ARMY LAM BUTT CHUNG MEMORIAL SCHOOL","8 YAT TUNG STREET YAT TUNG ESTATE TUNG CHUNG LANTAU ISLAND","資助小學","救世軍林拔中紀念學校","大嶼山東涌逸東街８號逸東邨","CO-ED","男女","WHOLE DAY","全日","ISLANDS","離島區","AIDED","資助","PRIMARY","小學","21090328","21090328","21090223","21090223","http://www.salbcms.edu.hk","http://www.salbcms.edu.hk","PROTESTANTISM / CHRISTIANITY","基督教","535753000223","535753000223","815881.0","811561.0","22.28163","113.93713","2019-01-09 07:34:38"
"ngk0iURYbR","Aided Primary Schools","THE CHURCH OF CHRIST IN CHINA KEI WAN PRIMARY SCHOOL (ALDRICH BAY)","39 OI SHUN ROAD SHAUKEIWAN HONG KONG","資助小學","中華基督教會基灣小學（愛蝶灣）","香港筲箕灣愛信道３９號","CO-ED","男女","WHOLE DAY","全日","EASTERN","東區","AIDED","資助","PRIMARY","小學","29154140","29154140","25390988","25390988","http://www.ccckeiwan.edu.hk","http://www.ccckeiwan.edu.hk","PROTESTANTISM / CHRISTIANITY","基督教","543306000123","543306000123","815821.0","841331.0","22.28126","114.226","2019-01-09 07:34:38"
"fgilfrjruT","Aided Primary Schools","ST PATRICK'S CATHOLIC PRIMARY SCHOOL (PO KONG VILLAGE ROAD)","178 PO KONG VILLAGE ROAD WONG TAI SIN KOWLOON","資助小學","聖博德天主教小學（蒲崗村道）","九龍黃大仙蒲崗村道１７８號","CO-ED","男女","WHOLE DAY","全日","WONG TAI SIN","黃大仙區","AIDED","資助","PRIMARY","小學","22460783","22460783","22460780","22460780","http://www.spcpspkv.edu.hk","http://www.spcpspkv.edu.hk","CATHOLICISM","天主教","543250000123","543250000123","822829.0","839108.0","22.34455","114.20444","2019-01-09 07:34:38"
"ZICKPW3ROE","Aided Primary Schools","LOK SIN TONG LEUNG KAU KUI PRIMARY SCHOOL (BRANCH)","SECOND PRIMARY SCHOOL AREA 101 TIN SHUI WAI YUEN LONG NEW TERRITORIES","資助小學","樂善堂梁銶琚學校（分校）","新界元朗天水圍第１０１區第２小學校舍","CO-ED","男女","WHOLE DAY","全日","YUEN LONG","元朗區","AIDED","資助","PRIMARY","小學","24456880","24456880","24456533","24456533","http://lst-lkkb.edu.hk","http://lst-lkkb.edu.hk","NOT APPLICABLE","不適用","543322000223","543322000223","836017.0","817667.0","22.46354","113.99615","2019-01-09 07:34:38"
"UXI63nN7Sh","Aided Primary Schools","PO LEUNG KUK CASTAR PRIMARY SCHOOL","23 TSING LUK STREET, TSING YI, NEW TERRITORIES","資助小學","保良局世德小學","新界青衣青綠街２３號","CO-ED","男女","WHOLE DAY","全日","KWAI TSING","葵青區","AIDED","資助","PRIMARY","小學","24363923","24363923","24364113","24364113","http://www.plkcastar.edu.hk","http://www.plkcastar.edu.hk","NOT APPLICABLE","不適用","543217000123","543217000123","823981.0","829029.0","22.35494","114.1066","2019-01-09 07:34:38"
"giZMRXPviS","Aided Primary Schools","FANLING ASSEMBLY OF GOD CHURCH PRIMARY SCHOOL","2 WO MING LANE FANLING NEW TERRITORIES","資助小學","基督教粉嶺神召會小學","新界粉嶺和鳴里２號","CO-ED","男女","WHOLE DAY","全日","NORTH","北區","AIDED","資助","PRIMARY","小學","29479966","29479966","29479922","29479922","http://www.fagps.edu.hk","http://www.fagps.edu.hk","PROTESTANTISM / CHRISTIANITY","基督教","539953000123","539953000123","838317.0","832704.0","22.48441","114.14224","2019-01-09 07:34:38"
"JT1PYlKi72","Aided Primary Schools","ST. MATTHEW'S LUTHERAN SCHOOL (SAU MAU PING)","123 SAU MING ROAD SAU MAU PING KWUN TONG KOWLOON","資助小學","路德會聖馬太學校（秀茂坪）","九龍觀塘秀茂坪秀明道１２３號","CO-ED","男女","WHOLE DAY","全日","KWUN TONG","觀塘區","AIDED","資助","PRIMARY","小學","27723797","27723797","27723779","27723779","http://www.smssmp.edu.hk","http://www.smssmp.edu.hk","PROTESTANTISM / CHRISTIANITY","基督教","540242000123","540242000123","819754.0","842104.0","22.31677","114.23352","2019-01-09 07:34:38"
